gauge_point;genome;count
1;dsDNA;44
1;ssDNA;8
1;dsRNA;0
1;ssRNA;156
1;NA;10
2;dsDNA;3
2;ssDNA;0
2;dsRNA;4
2;ssRNA;81
2;NA;1
3;dsDNA;3
3;ssDNA;3
3;dsRNA;9
3;ssRNA;40
3;NA;0
4;dsDNA;20
4;ssDNA;2
4;dsRNA;2
4;ssRNA;54
4;NA;0
5;dsDNA;4
5;ssDNA;95
5;dsRNA;3
5;ssRNA;45
5;NA;1
6;dsDNA;0
6;ssDNA;17
6;dsRNA;1
6;ssRNA;10
6;NA;2
7;dsDNA;0
7;ssDNA;2
7;dsRNA;1
7;ssRNA;8
7;NA;1
8;dsDNA;0
8;ssDNA;2
8;dsRNA;0
8;ssRNA;12
8;NA;1
9;dsDNA;1
9;ssDNA;0
9;dsRNA;3
9;ssRNA;4
9;NA;3
10;dsDNA;0
10;ssDNA;1
10;dsRNA;0
10;ssRNA;7
10;NA;1
11;dsDNA;0
11;ssDNA;2
11;dsRNA;0
11;ssRNA;9
11;NA;0
12;dsDNA;1
12;ssDNA;0
12;dsRNA;1
12;ssRNA;7
12;NA;0
13;dsDNA;0
13;ssDNA;0
13;dsRNA;1
13;ssRNA;9
13;NA;1
14;dsDNA;0
14;ssDNA;1
14;dsRNA;1
14;ssRNA;6
14;NA;0
15;dsDNA;0
15;ssDNA;1
15;dsRNA;0
15;ssRNA;6
15;NA;0
16;dsDNA;4
16;ssDNA;1
16;dsRNA;3
16;ssRNA;18
16;NA;0
17;dsDNA;1
17;ssDNA;1
17;dsRNA;1
17;ssRNA;43
17;NA;0
18;dsDNA;6
18;ssDNA;1
18;dsRNA;1
18;ssRNA;17
18;NA;1
19;dsDNA;37
19;ssDNA;0
19;dsRNA;3
19;ssRNA;14
19;NA;3
20;dsDNA;13
20;ssDNA;16
20;dsRNA;9
20;ssRNA;44
20;NA;10
21;dsDNA;14
21;ssDNA;5
21;dsRNA;3
21;ssRNA;104
21;NA;7
