gauge_point;genome;average atoms (#)
1;dsDNA;3423261
1;ssDNA;253152
1;dsRNA;0
1;ssRNA;290096
1;NA;309340
2;dsDNA;2070180
2;ssDNA;0
2;dsRNA;1935000
2;ssRNA;202633
2;NA;0
3;dsDNA;2936910
3;ssDNA;327540
3;dsRNA;3877380
3;ssRNA;362130
3;NA;0
4;dsDNA;1141360
4;ssDNA;0
4;dsRNA;779070
4;ssRNA;248190
4;NA;0
5;dsDNA;247680
5;ssDNA;238320
5;dsRNA;2943660
5;ssRNA;310290
5;NA;293460
6;dsDNA;0
6;ssDNA;254280
6;dsRNA;3218160
6;ssRNA;320160
6;NA;428460
7;dsDNA;0
7;ssDNA;256140
7;dsRNA;192480
7;ssRNA;0
7;NA;0
8;dsDNA;0
8;ssDNA;0
8;dsRNA;0
8;ssRNA;214620
8;NA;0
9;dsDNA;682740
9;ssDNA;0
9;dsRNA;192540
9;ssRNA;0
9;NA;259020
10;dsDNA;0
10;ssDNA;0
10;dsRNA;0
10;ssRNA;516180
10;NA;0
11;dsDNA;0
11;ssDNA;0
11;dsRNA;0
11;ssRNA;0
11;NA;0
12;dsDNA;0
12;ssDNA;0
12;dsRNA;0
12;ssRNA;0
12;NA;0
13;dsDNA;0
13;ssDNA;0
13;dsRNA;710400
13;ssRNA;0
13;NA;129120
14;dsDNA;0
14;ssDNA;0
14;dsRNA;0
14;ssRNA;144930
14;NA;0
15;dsDNA;0
15;ssDNA;0
15;dsRNA;0
15;ssRNA;422400
15;NA;0
16;dsDNA;969900
16;ssDNA;0
16;dsRNA;408780
16;ssRNA;254532
16;NA;0
17;dsDNA;0
17;ssDNA;0
17;dsRNA;355140
17;ssRNA;405820
17;NA;0
18;dsDNA;287700
18;ssDNA;0
18;dsRNA;0
18;ssRNA;357870
18;NA;0
19;dsDNA;3531720
19;ssDNA;0
19;dsRNA;537840
19;ssRNA;717420
19;NA;210360
20;dsDNA;6673215
20;ssDNA;3041550
20;dsRNA;2299488
20;ssRNA;395087
20;NA;84540
21;dsDNA;5229111
21;ssDNA;0
21;dsRNA;557640
21;ssRNA;274346
21;NA;150300
