gauge_point;genome;average average_radius (Å)
1;dsDNA;390
1;ssDNA;183
1;dsRNA;0
1;ssRNA;151
1;NA;171
2;dsDNA;366
2;ssDNA;0
2;dsRNA;310
2;ssRNA;124
2;NA;0
3;dsDNA;302
3;ssDNA;152
3;dsRNA;361
3;ssRNA;150
3;NA;0
4;dsDNA;269
4;ssDNA;0
4;dsRNA;222
4;ssRNA;146
4;NA;0
5;dsDNA;139
5;ssDNA;138
5;dsRNA;367
5;ssRNA;142
5;NA;141
6;dsDNA;0
6;ssDNA;139
6;dsRNA;339
6;ssRNA;149
6;NA;198
7;dsDNA;0
7;ssDNA;139
7;dsRNA;132
7;ssRNA;0
7;NA;0
8;dsDNA;0
8;ssDNA;0
8;dsRNA;0
8;ssRNA;151
8;NA;0
9;dsDNA;248
9;ssDNA;0
9;dsRNA;131
9;ssRNA;0
9;NA;139
10;dsDNA;0
10;ssDNA;0
10;dsRNA;0
10;ssRNA;197
10;NA;0
11;dsDNA;0
11;ssDNA;0
11;dsRNA;0
11;ssRNA;0
11;NA;0
12;dsDNA;0
12;ssDNA;0
12;dsRNA;0
12;ssRNA;0
12;NA;0
13;dsDNA;0
13;ssDNA;0
13;dsRNA;226
13;ssRNA;0
13;NA;119
14;dsDNA;0
14;ssDNA;0
14;dsRNA;0
14;ssRNA;140
14;NA;0
15;dsDNA;0
15;ssDNA;0
15;dsRNA;0
15;ssRNA;172
15;NA;0
16;dsDNA;249
16;ssDNA;0
16;dsRNA;186
16;ssRNA;140
16;NA;0
17;dsDNA;0
17;ssDNA;0
17;dsRNA;184
17;ssRNA;178
17;NA;0
18;dsDNA;175
18;ssDNA;0
18;dsRNA;0
18;ssRNA;217
18;NA;0
19;dsDNA;379
19;ssDNA;0
19;dsRNA;212
19;ssRNA;182
19;NA;172
20;dsDNA;468
20;ssDNA;278
20;dsRNA;354
20;ssRNA;171
20;NA;99
21;dsDNA;418
21;ssDNA;0
21;dsRNA;207
21;ssRNA;141
21;NA;122
