tnumber;gauge_point;count
1;1;5
1;2;6
1;3;3
1;4;3
1;5;9
1;6;2
1;7;2
1;8;0
1;9;2
1;10;0
1;11;0
1;12;0
1;13;1
1;14;2
1;15;0
1;16;3
1;17;0
1;18;0
1;19;2
1;20;6
1;21;5
2;1;0
2;2;1
2;3;1
2;4;0
2;5;0
2;6;0
2;7;0
2;8;0
2;9;0
2;10;0
2;11;0
2;12;0
2;13;1
2;14;0
2;15;0
2;16;2
2;17;1
2;18;0
2;19;0
2;20;0
2;21;0
pT3;1;5
pT3;2;3
pT3;3;0
pT3;4;1
pT3;5;1
pT3;6;1
pT3;7;0
pT3;8;0
pT3;9;0
pT3;10;2
pT3;11;0
pT3;12;0
pT3;13;0
pT3;14;0
pT3;15;0
pT3;16;1
pT3;17;1
pT3;18;1
pT3;19;1
pT3;20;3
pT3;21;2
3;1;13
3;2;1
3;3;2
3;4;1
3;5;0
3;6;0
3;7;0
3;8;1
3;9;0
3;10;0
3;11;0
3;12;0
3;13;0
3;14;0
3;15;1
3;16;1
3;17;1
3;18;0
3;19;1
3;20;3
3;21;2
4;1;2
4;2;0
4;3;1
4;4;0
4;5;0
4;6;0
4;7;0
4;8;0
4;9;1
4;10;0
4;11;0
4;12;0
4;13;0
4;14;0
4;15;0
4;16;0
4;17;1
4;18;1
4;19;3
4;20;2
4;21;1
7l;1;5
7l;2;0
7l;3;0
7l;4;1
7l;5;0
7l;6;0
7l;7;0
7l;8;0
7l;9;0
7l;10;0
7l;11;0
7l;12;0
7l;13;0
7l;14;0
7l;15;0
7l;16;0
7l;17;0
7l;18;0
7l;19;3
7l;20;1
7l;21;3
7d;1;0
7d;2;0
7d;3;1
7d;4;4
7d;5;0
7d;6;0
7d;7;0
7d;8;0
7d;9;0
7d;10;0
7d;11;0
7d;12;0
7d;13;0
7d;14;0
7d;15;0
7d;16;1
7d;17;0
7d;18;0
7d;19;0
7d;20;0
7d;21;0
7;1;1
7;2;0
7;3;0
7;4;0
7;5;0
7;6;0
7;7;0
7;8;0
7;9;0
7;10;0
7;11;0
7;12;0
7;13;0
7;14;0
7;15;0
7;16;0
7;17;0
7;18;0
7;19;0
7;20;0
7;21;0
9;1;1
9;2;1
9;3;0
9;4;0
9;5;0
9;6;1
9;7;0
9;8;0
9;9;0
9;10;0
9;11;0
9;12;0
9;13;0
9;14;0
9;15;0
9;16;0
9;17;0
9;18;1
9;19;0
9;20;0
9;21;0
13;1;2
13;2;0
13;3;1
13;4;0
