gauge_point;genome;count
1;dsDNA;17
1;ssDNA;5
1;dsRNA;0
1;ssRNA;16
1;NA;3
2;dsDNA;1
2;ssDNA;0
2;dsRNA;2
2;ssRNA;9
2;NA;0
3;dsDNA;2
3;ssDNA;1
3;dsRNA;2
3;ssRNA;4
3;NA;0
4;dsDNA;6
4;ssDNA;0
4;dsRNA;2
4;ssRNA;2
4;NA;0
5;dsDNA;1
5;ssDNA;6
5;dsRNA;1
5;ssRNA;2
5;NA;1
6;dsDNA;0
6;ssDNA;1
6;dsRNA;1
6;ssRNA;2
6;NA;1
7;dsDNA;0
7;ssDNA;1
7;dsRNA;1
7;ssRNA;0
7;NA;0
8;dsDNA;0
8;ssDNA;0
8;dsRNA;0
8;ssRNA;1
8;NA;0
9;dsDNA;1
9;ssDNA;0
9;dsRNA;1
9;ssRNA;0
9;NA;1
10;dsDNA;0
10;ssDNA;0
10;dsRNA;0
10;ssRNA;2
10;NA;0
11;dsDNA;0
11;ssDNA;0
11;dsRNA;0
11;ssRNA;0
11;NA;0
12;dsDNA;0
12;ssDNA;0
12;dsRNA;0
12;ssRNA;0
12;NA;0
13;dsDNA;0
13;ssDNA;0
13;dsRNA;1
13;ssRNA;0
13;NA;1
14;dsDNA;0
14;ssDNA;0
14;dsRNA;0
14;ssRNA;2
14;NA;0
15;dsDNA;0
15;ssDNA;0
15;dsRNA;0
15;ssRNA;1
15;NA;0
16;dsDNA;1
16;ssDNA;0
16;dsRNA;2
16;ssRNA;5
16;NA;0
17;dsDNA;0
17;ssDNA;0
17;dsRNA;1
17;ssRNA;3
17;NA;0
18;dsDNA;1
18;ssDNA;0
18;dsRNA;0
18;ssRNA;2
18;NA;0
19;dsDNA;5
19;ssDNA;0
19;dsRNA;2
19;ssRNA;2
19;NA;2
20;dsDNA;4
20;ssDNA;2
20;dsRNA;5
20;ssRNA;9
20;NA;3
21;dsDNA;7
21;ssDNA;0
21;dsRNA;1
21;ssRNA;7
21;NA;1
