family;count
Adenoviridae;17
Albetovirus;4
Birnaviridae;8
Bromoviridae;17
Caliciviridae;22
Chrysoviridae;1
Circoviridae;19
Corticoviridae;1
Cystoviridae;6
Dicistroviridae;12
Flaviviridae;80
Hepadnaviridae;33
Hepeviridae;6
Herpesviridae;12
Iflaviridae;17
Lavidaviridae;2
Leviviridae;80
Luteoviridae;2
Marnaviridae;1
Microviridae;8
Myoviridae;4
Nanoparticles;32
Nanoviridae;1
Nodaviridae;24
Papanivirus;3
Papillomaviridae;18
Partitiviridae;3
Parvoviridae;137
Phycodnaviridae;2
Picobirnaviridae;4
Picornaviridae;398
Podoviridae;20
Polyomaviridae;9
Protogloboviridae;1
Reoviridae;27
Retroviridae;5
Rhodobacterales;1
Saccharomycetales;1
Sarthroviridae;1
Secoviridae;16
Siphoviridae;32
Sobemovirus;14
Sphaerolipoviridae;3
Synechococcaceae;2
Tectiviridae;6
Tetraviridae;5
Thermococcales;1
Togaviridae;39
Tombusviridae;13
Totiviridae;3
Turriviridae;1
Tymoviridae;12
Unclassified;6
Unknown;2
Virtovirus;4
dsRNA viruses;3
