atoms;average_radius;tnumber;id
93540;87;1;1a34
240960;153;pT3;1a6c
571260;173;1;1al0
397980;160;pT3;1al2
209160;140;3;1aq3
211440;135;3;1aq4
397920;160;pT3;1ar6
397980;160;pT3;1ar7
398700;161;pT3;1ar8
398040;160;pT3;1ar9
397920;160;pT3;1asj
242700;152;3;1auy
379980;155;pT3;1aym
379980;157;pT3;1ayn
402840;160;pT3;1b35
308520;149;pT3;1bbt
369540;154;pT3;1bev
173880;139;3;1bms
276780;153;pT3;1bmv
261120;139;1;1c8d
255300;138;1;1c8e
261060;138;1;1c8f
261000;139;1;1c8g
259140;138;1;1c8h
378600;157;pT3;1c8m
271620;155;3;1c8n
585300;175;1;1cd3
382560;156;pT3;1cov
227040;141;3;1cwp
392280;158;pT3;1d4m
258420;152;3;1ddl
191820;144;1;1dnv
174240;139;3;1dwn
273780;203;4;1dyl
214680;158;1;1dzl
224520;156;3;1e57
217140;139;3;1e6t
216660;140;3;1e7x
390840;160;pT3;1eah
2069160;384;2;1ej6
391680;159;pT3;1ev1
252000;149;3;1f15
271680;150;3;1f2n
509640;172;3;1f8v
310080;149;pT3;1fmd
321720;150;pT3;1fod
368580;157;pT3;1fpn
261000;145;1;1fpv
165120;159;3;1fr5
173880;139;3;1frs
173340;146;3;1gav
286740;168;1;1gff
210240;140;3;1gkv
206700;138;3;1gkw
2050200;330;pT25;1gw7
2050200;332;pT25;1gw8
209460;138;3;1h8j
392040;157;pT3;1h8t
1548720;314;pT25;1hb5
2050800;327;pT25;1hb7
2064960;336;pT25;1hb9
208140;135;3;1he6
376080;157;pT3;1hri
376080;157;pT3;1hrv
400680;160;pT3;1hxs
120000;266;7l;1if0
689940;199;3;1ihm
274260;140;1;1ijs
224460;141;3;1js9
258360;138;1;1k3v
545040;252;3;1k4r
387540;157;pT3;1k5m
206340;139;3;1kuo
258120;149;3;1laj
938940;326;4;1ld4
249120;140;1;1lp3
303600;170;1;1m06
618120;216;2;1m1c
16284240;847;pT169;1m4x
384240;156;pT3;1mec
379980;185;pT3;1mqt
173520;138;3;1mst
173340;154;3;1mva
173520;139;3;1mvb
278940;137;1;1mvm
376080;156;pT3;1na1
376080;156;pT3;1ncq
380160;154;pT3;1ncr
379980;156;pT3;1nd2
380160;157;pT3;1nd3
278040;152;3;1ng0
447060;169;3;1nov
260580;153;pT3;1ny7
1040100;211;4;1ohf
903840;308;7l;1ohg
381780;157;pT3;1oop
366840;176;3;1opo
271980;139;1;1p5w
259680;138;1;1p5y
265500;178;pT3;1pgl
249360;153;pT3;1pgw
