atoms;weight;tnumber;id
93540;24.22;1;1a34
240960;3364.39;pT3;1a6c
571260;149.16;1;1al0
397980;98.48;pT3;1al2
209160;53.42;3;1aq3
211440;622.12;3;1aq4
397920;98.47;pT3;1ar6
397980;98.49;pT3;1ar7
398700;98.69;pT3;1ar8
398040;98.5;pT3;1ar9
397920;98.47;pT3;1asj
242700;60.51;3;1auy
379980;95.67;pT3;1aym
379980;95.67;pT3;1ayn
402840;95.41;pT3;1b35
308520;80.83;pT3;1bbt
369540;92.92;pT3;1bev
173880;716.31;3;1bms
276780;3364.39;pT3;1bmv
261120;64.82;1;1c8d
255300;61.62;1;1c8e
261060;61.74;1;1c8f
261000;61.7;1;1c8g
259140;69.49;1;1c8h
378600;95.63;pT3;1c8m
271620;90.16;3;1c8n
585300;149.15;1;1cd3
382560;94.6;pT3;1cov
227040;64.05;3;1cwp
392280;97.35;pT3;1d4m
258420;62.7;3;1ddl
191820;58.53;1;1dnv
174240;882.54;3;1dwn
273780;65.01;4;1dyl
214680;56.44;1;1dzl
224520;59.97;3;1e57
217140;53.5;3;1e6t
216660;53.82;3;1e7x
390840;97.49;pT3;1eah
2069160;380.35;2;1ej6
391680;87.72;pT3;1ev1
252000;72.53;3;1f15
271680;78.15;3;1f2n
509640;135.88;3;1f8v
310080;80.84;pT3;1fmd
321720;80.83;pT3;1fod
368580;95.6;pT3;1fpn
261000;3508.94;1;1fpv
165120;3911.43;3;1fr5
173880;41.7;3;1frs
173340;41.72;3;1gav
286740;70.27;1;1gff
210240;1243.21;3;1gkv
206700;53.4;3;1gkw
2050200;520.15;pT25;1gw7
2050200;520.15;pT25;1gw8
209460;46.27;3;1h8j
392040;95.55;pT3;1h8t
1548720;390.12;pT25;1hb5
2050800;520.15;pT25;1hb7
2064960;520.15;pT25;1hb9
208140;53.34;3;1he6
376080;94.79;pT3;1hri
376080;94.88;pT3;1hrv
400680;97.71;pT3;1hxs
120000;197.96;7l;1if0
689940;169.89;3;1ihm
274260;61.25;1;1ijs
224460;61.57;3;1js9
258360;1943.1;1;1k3v
545040;129.69;3;1k4r
387540;96.38;pT3;1k5m
206340;52.87;3;1kuo
258120;73.45;3;1laj
938940;361.06;4;1ld4
249120;58.77;1;1lp3
303600;73.48;1;1m06
618120;152.14;2;1m1c
16284240;137.2;pT169;1m4x
384240;91.78;pT3;1mec
379980;119.61;pT3;1mqt
173520;53.39;3;1mst
173340;1651.9;3;1mva
173520;53.26;3;1mvb
278940;64.41;1;1mvm
376080;94.94;pT3;1na1
376080;94.86;pT3;1ncq
380160;95.86;pT3;1ncr
379980;95.7;pT3;1nd2
380160;95.63;pT3;1nd3
278040;82.67;3;1ng0
447060;134.25;3;1nov
260580;66.67;pT3;1ny7
1040100;279.67;4;1ohf
903840;215.76;7l;1ohg
381780;94.26;pT3;1oop
366840;113.82;3;1opo
271980;64.76;1;1p5w
259680;61.56;1;1p5y
265500;70.89;pT3;1pgl
249360;61.82;pT3;1pgw
396960;98.45;pT3;1piv
398760;98.57;pT3;1po1
398760;98.54;pT3;1po2
362100;98.01;pT3;1pov
396960;98.41;pT3;1pvc
168480;43.75;3;1qbe
496740;85.04;pT3;1qgc
273600;67.47;4;1qgt
380160;95.8;pT3;1qju
380160;95.8;pT3;1qjx
380160;95.8;pT3;1qjy
242280;59.97;3;1qjz
312060;82.27;pT3;1qqp
376080;94.96;pT3;1r08
376080;94.85;pT3;1r09
373380;92.83;pT3;1r1a
302760;76.03;1;1rb8
377220;94.35;pT3;1rhi
376440;94.66;pT3;1rmu
375960;94.77;pT3;1ruc
375960;94.81;pT3;1rud
375900;94.75;pT3;1rue
375780;94.44;pT3;1ruf
