atoms;resolution;tnumber;id
93540;1.81;1;1a34
240960;3.5;pT3;1a6c
571260;3.5;1;1al0
397980;2.9;pT3;1al2
209160;2.8;3;1aq3
211440;3;3;1aq4
397920;2.9;pT3;1ar6
397980;2.9;pT3;1ar7
398700;2.9;pT3;1ar8
398040;2.9;pT3;1ar9
397920;2.9;pT3;1asj
242700;3.2;3;1auy
379980;2.15;pT3;1aym
379980;2.9;pT3;1ayn
402840;2.4;pT3;1b35
308520;2.6;pT3;1bbt
369540;3;pT3;1bev
173880;2.7;3;1bms
276780;3;pT3;1bmv
261120;3;1;1c8d
255300;3;1;1c8e
261060;3;1;1c8f
261000;3;1;1c8g
259140;3.5;1;1c8h
378600;2.8;pT3;1c8m
271620;2.25;3;1c8n
585300;3.5;1;1cd3
382560;3.5;pT3;1cov
227040;3.2;3;1cwp
392280;2.9;pT3;1d4m
258420;2.7;3;1ddl
191820;3.6;1;1dnv
174240;3.5;3;1dwn
273780;9;4;1dyl
214680;3.5;1;1dzl
224520;3.2;3;1e57
217140;2.2;3;1e6t
216660;2.38;3;1e7x
390840;2.9;pT3;1eah
2069160;3.6;2;1ej6
391680;3.55;pT3;1ev1
252000;3.2;3;1f15
271680;2.8;3;1f2n
509640;3;3;1f8v
310080;3.5;pT3;1fmd
321720;2.6;pT3;1fod
368580;2.6;pT3;1fpn
261000;3.3;1;1fpv
165120;3.5;3;1fr5
173880;3.5;3;1frs
173340;3.4;3;1gav
286740;3;1;1gff
210240;3.3;3;1gkv
206700;2.56;3;1gkw
2050200;13.5;pT25;1gw7
2050200;13.3;pT25;1gw8
209460;2.8;3;1h8j
392040;2.9;pT3;1h8t
1548720;12;pT25;1hb5
2050800;14;pT25;1hb7
2064960;25;pT25;1hb9
208140;2.65;3;1he6
376080;3;pT3;1hri
376080;3;pT3;1hrv
400680;2.2;pT3;1hxs
120000;12;7l;1if0
689940;3.4;3;1ihm
274260;3.25;1;1ijs
224460;3.4;3;1js9
258360;3.5;1;1k3v
545040;24;3;1k4r
387540;2.7;pT3;1k5m
206340;2.7;3;1kuo
258120;3.4;3;1laj
938940;11.4;4;1ld4
249120;3;1;1lp3
303600;3.5;1;1m06
618120;3.5;2;1m1c
16284240;28;pT169;1m4x
384240;3.2;pT3;1mec
379980;3.3;pT3;1mqt
173520;2.6;3;1mst
173340;3;3;1mva
173520;3;3;1mvb
278940;3.5;1;1mvm
376080;3.3;pT3;1na1
376080;2.5;pT3;1ncq
380160;2.7;pT3;1ncr
379980;2.5;pT3;1nd2
380160;2.8;pT3;1nd3
278040;2.7;3;1ng0
447060;3.5;3;1nov
260580;3;pT3;1ny7
1040100;2.8;4;1ohf
903840;3.45;7l;1ohg
381780;3;pT3;1oop
366840;3.2;3;1opo
271980;3.3;1;1p5w
259680;3.2;1;1p5y
265500;2.8;pT3;1pgl
249360;2.9;pT3;1pgw
396960;2.9;pT3;1piv
398760;2.9;pT3;1po1
398760;2.9;pT3;1po2
362100;2.88;pT3;1pov
396960;2.4;pT3;1pvc
168480;3.5;3;1qbe
496740;30;pT3;1qgc
273600;3.3;4;1qgt
380160;2.8;pT3;1qju
380160;2.8;pT3;1qjx
380160;2.8;pT3;1qjy
242280;3.8;3;1qjz
312060;1.9;pT3;1qqp
376080;3;pT3;1r08
376080;2.9;pT3;1r09
373380;3.2;pT3;1r1a
302760;3.5;1;1rb8
377220;3;pT3;1rhi
376440;3;pT3;1rmu
375960;3.1;pT3;1ruc
375960;2.9;pT3;1rud
375900;2.9;pT3;1rue
375780;2.9;pT3;1ruf
375960;3;pT3;1rug
375960;3;pT3;1ruh
375960;3;pT3;1rui
375960;3;pT3;1ruj
481140;4;pT3;1rvf
246480;3.5;1;1s58
1004700;3.65;7d;1sid
1004700;3.65;7d;1sie
270720;3;3;1smv
63660;1.9;1;1stm
958980;3.1;7d;1sva
357180;2.8;pT3;1tme
375600;3.5;pT3;1tmf
139680;5;3;1tnv
215760;2.85;3;1u1y
3487800;3.5;13;1uf2
447780;16;pT3;1upn
386160;3.6;pT3;1v9u
87240;3.05;1;1vak
83880;3.4;1;1vb2
87240;3.3;1;1vb4
396960;2.9;pT3;1vba
396960;2.8;pT3;1vbb
396960;2.8;pT3;1vbc
397920;2.9;pT3;1vbd
396600;2.8;pT3;1vbe
376080;3;pT3;1vrh
245640;3.75;3;1w39
2286960;4.2;pT25;1w8x
190140;3;1;1wcd
271560;3.6;3;1x33
266340;4.1;3;1x35
87720;2.7;1;1x36
217920;3.3;1;1x9p
216300;3.5;1;1x9t
69600;2.9;1;1yc6
259020;3.25;1;1z14
259680;3.5;1;1z1c
399420;3.2;pT3;1z7s
522720;8;pT3;1z7z
1084260;9;4;1z8y
216900;2.7;3;1za7
313620;2;pT3;1zba
313620;3;pT3;1zbe
206760;2.7;3;1zdh
210660;2.7;3;1zdi
193740;2.9;3;1zdj
222300;2.86;3;1zdk
188580;3;3;1zse
188640;2.9;3;2b2d
211500;3.15;3;2b2e
212820;3.02;3;2b2g
456240;2.8;3;2bbv
260580;4;pT3;2bfu
